id,feature_0,feature_1
id1,-2.084265366,11.897399094269462
id2,2.8030260756078915,-4.881680141
id3,4.081601239333379,-5.481004501
id4,-2.36178914,-6.362817073
id5,1.2614620947592732,-7.974901752
id6,2.9270160904140594,-5.288136377
id7,-0.608569886,11.780108890269428
id8,0.07818912764404784,-10.79550152
id9,-4.00847682,10.540087440757524
id10,-5.100637414,12.296957417170109
id11,0.903780466323852,-7.543494286
id12,-4.60947282,9.426030696791173
id13,-0.26572055,-4.389605543
id14,-3.546460703,5.222004346824594
id15,-1.352631785,14.308926002263046
id16,-1.045438971,10.797785103711936
id17,-10.09708816,7.086963433875481
id18,-5.705605463,8.302699454536882
id19,-1.177047891,5.879765543715179
id20,-8.015995522,9.424320734460824
id21,-0.468084921,5.2045961341586695
id22,-3.435006045,6.930388660000155
id23,-2.159127061,-3.871845575
id24,3.9560931009234768,-6.920966567
id25,2.0153964745469413,-10.48333235
id26,-8.765199057,6.647831012973292
id27,0.9508416742789456,12.527299392893791
id28,-4.132361568,11.383850635291362
id29,1.6418779850859908,-6.68238695
id30,-10.34874676,3.8648666359277883
id31,-10.69328633,10.55261098239982
id32,-0.560119905,-5.126661376
id33,-9.777062473,10.279405025728163
id34,3.5847402997349738,-8.647860643
id35,-10.4005188,4.872504391003608
id36,-1.806248717,6.7002340037624055
id37,-14.31601294,6.485774218500617
id38,-5.622069959,5.318136436724593
id39,1.7992241616376665,-4.654658286
id40,-10.18448141,9.805847338737523
id41,2.082619090725455,-7.519230033
id42,0.7362173195235235,-7.615289371
id43,-6.584269316,11.54462830486403
id44,3.981582305993639,-6.796307377
id45,0.6075220886256305,-3.826538041
id46,-9.424165034,9.342134710519582
id47,-0.612762386,-8.65652745
id48,1.1203999275689387,-7.295800012
id49,0.13365989633365727,-6.370446979
id50,-0.562877509,-4.922451582
id51,-7.201636213,6.140360298416081
id52,-6.747505958,7.920596380964738
id53,-13.19258664,6.39533613396307
id54,3.5991241557439038,-9.295408156
id55,0.3149088795044388,-7.616575402
id56,-9.084310214,4.427807924583693
id57,-1.528515294,-6.843797042
id58,-7.383880357,6.298207302536813
id59,-0.039603416,-4.484921621
id60,-9.820682761,5.52089784169123
id61,-7.346431141,2.2643879704682854
id62,-4.082885025,10.508587295479842
id63,-9.709061391,6.083392134149342
id64,-10.14309463,8.590716556475106
id65,-1.828183609,-7.464414768
id66,-0.521904909,-8.788205542
id67,3.652996466591458,8.263935417217093
id68,-14.35437488,5.958916450571009
id69,-8.677909943,6.4232580339032355
id70,-11.45136366,6.332534115057567
id71,-0.838177721,6.29030338246169
id72,-10.30574197,6.380167723129178
id73,-8.095263729,9.602285700335074
id74,6.931635271070011,-5.5065502
id75,-5.096584784,8.539300160242373
id76,-4.365214716,7.2559266239298035
id77,0.7420544981144375,-6.840108331
id78,-3.709527292,9.333792871615278
id79,3.139960268953687,-5.613709747
id80,-2.723930747,11.04600969230831
id81,-3.961392958,7.7013616102529525
id82,7.441891757376248,-10.1055384
id83,7.0179395935238285,-6.338834987
id84,-0.755764961,11.591943413168455
id85,0.39840654714470114,-7.266938696
id86,0.3241640126426495,-8.641798326
id87,-3.979414689,8.680783983469462
id88,-7.808054854,8.716783649949921
id89,-11.43149211,8.870098215773059
id90,-5.52340283,5.691501705074195
id91,-13.82364987,4.807046874474276
id92,1.5741832793782422,-4.517198028
id93,4.0350422003714765,-4.839610069
id94,-9.332750368,7.796300957008555
id95,-11.30131376,10.835878738544002
id96,0.10948595378544379,-9.239253955
id97,-8.37142262,8.505180555690487
id98,1.893373447332327,-7.032235755
id99,-0.809466384,-3.82512581
id100,0.9835977321115763,-7.328687192
id101,-4.361278643,8.978563549723399
id102,-2.374226577,4.508263859462779
id103,-9.498422162,4.670289086219999
id104,2.6940890188601037,8.252902031980177
id105,-2.524695472,10.022084445912265
id106,-0.13907645,-5.87572567
id107,3.9169977859780922,-3.439961758
id108,-10.18391822,6.983886124528092
id109,-0.317310998,10.393628654361008
id110,0.7686995927425126,5.882813597284582
id111,2.1668539807838068,-3.095632255
id112,-6.67771872,5.895087284455511
id113,-5.794082396,7.9600223401760015
id114,-4.402696415,5.618608136389939
id115,-2.5225388,7.36736406374493
id116,-6.232680272,9.075891374269782
id117,-9.392549207,4.450093889959021
id118,2.093073298894599,-6.050017533
id119,2.2189451645359886,-7.011697203
id120,2.1815373614238394,-4.676415238
id121,1.9869010595492154,-8.06889035
id122,3.2125075489414305,6.404354028202676
id123,-0.185491355,4.607118806020721
id124,-0.278170574,9.253337242921802
id125,-8.005227665,7.748134658621279
id126,1.959676243036896,-4.283655302
id127,1.1278289894266065,5.389644714496057
id128,5.54596223031831,-8.417003287
id129,-8.483913109,4.487531958732479
id130,-5.07779205,7.2981086136417606
id131,-8.753575796,4.718904051897381
id132,-9.361584734,7.867737935840824
id133,1.8351740982222906,-5.667430487
id134,-8.596637454,6.513691663118157
id135,0.3766882229695594,7.820831801760019
id136,0.30945614721519354,-4.696703614
id137,2.0485736152785443,-7.521097017
id138,-9.780078831,6.807735906450381
id139,-1.049416309,-7.475472622
id140,-10.25078253,8.381553851641247
id141,-10.24278399,3.4399534193317214
id142,-2.070314388,8.241064762086877
id143,-9.498755281,7.1712283335717455
id144,-4.866839644,12.524182974846555
id145,1.8082331317137066,-5.752988303
id146,-12.64231986,11.690370259269569
id147,-5.603749983,10.325192996330598
id148,1.9957651502215001,-4.217435343
id149,-11.54925578,6.215785730608527
id150,-1.170468098,11.66540316347449
id151,-4.257064068,8.992243512583803
id152,-5.854215593,5.935252777033585
id153,1.5722421824846113,-6.876178064
id154,-5.337830175,11.1050954356872
id155,-2.586416712,14.022804296153584
id156,-2.07259945,4.489388875746556
id157,-6.261118606,9.426843123471668
id158,2.5456257465934273,-6.28068584
id159,-5.484747818,5.591635771253596
id160,-9.165170423,10.085877721076132
id161,-3.945970642,7.960540577348612
id162,0.14438617419990685,-9.437615969
