id,feature_2
id1,7.206328452608297
id2,-5.808132993
id3,-6.288655216
id4,-4.982763093
id5,-6.530667169
id6,-6.734232083
id7,6.568974209481442
id8,-10.24039577
id9,0.4973386810678173
id10,4.766218375213117
id11,-5.671545873
id12,3.7335412734796956
id13,-6.158474766
id14,3.8971751614922896
id15,1.7083706940748113
id16,4.757421869037464
id17,1.686911129633515
id18,5.919295408608898
id19,8.081887568425426
id20,2.648038510321782
id21,3.5697636757875153
id22,2.916028033527186
id23,-9.016791956
id24,-6.249958737
id25,-7.403741007
id26,1.757001445940846
id27,8.12069321995786
id28,6.344964961337917
id29,-6.822262786
id30,0.6818698183042013
id31,-0.816366505
id32,-10.69493389
id33,3.2267595045173856
id34,-6.566696304
id35,-0.701074757
id36,6.244097429114725
id37,4.834392885153431
id38,5.437686805548296
id39,-2.902561329
id40,4.758979325814867
id41,-7.697905085
id42,-8.200202088
id43,6.080458198579678
id44,-9.270551801
id45,-8.09800465
id46,1.288786445259063
id47,-6.695684324
id48,-6.350412897
id49,-6.401307184
id50,-9.293854558
id51,7.897814734878479
id52,2.884988677228802
id53,-2.094859411
id54,-6.504769302
id55,-3.514663934
id56,-2.181642515
id57,-5.835925347
id58,2.733489308525356
id59,-4.931924875
id60,1.640272442195777
id61,2.5234289957149683
id62,11.038598913822582
id63,3.5114103787884745
id64,1.7050984496086903
id65,-10.42119366
id66,-4.697811626
id67,3.0138462494531173
id68,-0.153340324
id69,-0.205746015
id70,1.5998872182078983
id71,8.717693466932781
id72,3.8155091877611147
id73,1.750958715963808
id74,-0.294554484
id75,5.760854570267755
id76,-0.709172804
id77,-7.09699897
id78,5.557634503198269
id79,-6.437062631
id80,6.084655120706876
id81,3.2114284218427476
id82,-8.502394296
id83,-4.246078595
id84,4.911235526299198
id85,-5.12826888
id86,-11.20485417
id87,7.317370004241239
id88,1.6869372941980316
id89,-1.268374868
id90,2.9754109010593575
id91,0.5563985199359416
id92,-7.445761771
id93,-4.717113073
id94,0.20311934772361528
id95,0.8038266941389125
id96,-9.616575942
id97,5.470206705357921
id98,-8.719755717
id99,-2.50615633
id100,-8.737945255
id101,0.6613672174873804
id102,3.023555033247007
id103,1.9086377945416646
id104,4.878180853597399
id105,7.446573048223154
id106,-5.709320631
id107,-4.348744591
id108,2.7377871324842307
id109,2.864558941409392
id110,3.38372261895156
id111,-8.413511625
id112,2.5137091039703368
id113,4.748512047133275
id114,3.849634165136784
id115,0.4159857710324264
id116,4.864769206545076
id117,0.13149167329273936
id118,-7.939550622
id119,-10.43512591
id120,-9.313726447
id121,-7.135430693
id122,4.117477617898025
id123,7.500216842769147
id124,2.427838981433139
id125,-2.201343111
id126,-5.61654936
id127,1.8741083831572465
id128,-6.067574253
id129,5.096735796169018
id130,2.7632113330007653
id131,-1.061443725
id132,3.873087837923558
id133,-11.00269318
id134,1.7098509090786378
id135,2.9793102279670443
id136,-7.191654084
id137,-12.88699443
id138,3.5353594874098144
id139,-6.573000997
id140,2.8510133899185726
id141,6.386978575202068
id142,6.322692593163039
id143,2.575994479053966
id144,4.5935018249490005
id145,-7.956896344
id146,2.1517598628615593
id147,2.8026028000336027
id148,-12.23077429
id149,4.976703724017912
id150,8.493306328523557
id151,-0.585165535
id152,2.4214196583839334
id153,-10.07204197
id154,4.718046029349788
id155,7.047292659013426
id156,7.052416238886176
id157,2.500056541654681
id158,-4.620302716
id159,-1.748169401
id160,-3.871035327
id161,5.489431246694711
id162,-9.454946271
id163,-3.75565784
id164,2.3230960799976477
id165,4.658330515412704
id166,5.2461799002594
id167,-8.480089135
id168,3.958888909978579
id169,4.008164616225692
id170,-4.127220188
id171,-6.467834235
id172,4.268921381576427
id173,-3.693629905
id174,-6.941752795
id175,-6.625998874
id176,3.9479263547918415
id177,6.351484340116023
id178,4.3123260343419005
id179,0.6518843449410598
id180,3.5115558603029626
id181,-1.139415845
id182,0.16863757377686017
id183,6.088251249035758
id184,-4.807285025
id185,6.8212328148043
