label,text
1,环境非常有特点，古色古香，就在鲁迅故里附近，旅游的话建议可以住来感受感受。但是房间设施就一般般了，也可以理解，老房子的底子，如果对住宿条件要求比较高的话还是建议不要选择，尤其是无窗大床房。由客栈往鲁迅故居去经过的桥边的那摊臭豆腐味道确实很不错，价格也公道，建议可以尝尝
0,"竟然有如此差的酒店,楼下的居然说满意,还有哪有什么接机,送机免费,我真怀疑你是媒子.四星级酒店内竟然没有纸巾,卫生间小就算了,浴室四个角有三个角是补的,其中一个角长期没打扫干净,有恶心的黄迹.手巾粗糙,尤其浴衣可以说惨不忍睹.酒店是分时用空调,好不容易挨到了,风极小,叫维修人员,竟然连面也不照就说修不了,要不换房间好了.最奇怪的数电视机了,我朋友光脚从其前面走过去就有信号,等走回来信号就没了.还有惨的呢,就住这一晚害得我们俩人身上起了很我疹子,不知是被咬的,还是用具不干净过敏.原本住两晚的,只好拖着箱子赶紧逃离去了中心大酒店,真是英明的决定,总算最后没对烟台倒胃口."
1,总体感觉很不错，酒店的地理位置很好，出行很方便，而且对面就是市政府，景观效果很好，房间面积也很大床很舒服，整个房间给人的感觉很干净、舒适，最值得一提的是酒店的服务，每个服务人员都让人觉得很亲切，因为我带个小孩子，吃早餐时服务人员对我们的照顾更是无微不至，真的很感动，下次来威海我还会选择该酒店，不错不错补充点评2007年9月9日：还得补充一点，退房时相机落房间了，服务员能及时送还，值得表扬
1,"交通便利,恰好位于解放西路和黄兴中路的交界处；出门一拐就是步行街，而且濒临湘江。房间条件比三星要好一点（我住的豪华）；晚上附近的歌厅有一点点吵，12点以后没多大动静。免费宽带上网和早餐，自助早餐还不错。总之条件虽然不是很豪华，但是住着舒服方便；性价比不错。推荐入住。"
1,"这家酒店的设施真的非常不错.地理位置也方便,大堂气派.由于没有我预订的那种房型,到前台的时候,酒店给升级到高级房,总体来说,是很满意的."
1,好象新装修过了，各方面都很好。可是原来一次性的刮胡子刀没有了，希望能继续提供。
0,河南人就是河南人！不被懵一次，那算白来一回；在全国乃至全世界那种叫做经济房的房间，在河南济源雅士达叫做“贵宾楼”，真够逗的！！！
1,个人感觉性价比不是很高，与房价相比，服务的质量显然不到位。离店时开发票，服务员竟告知用完了。不适合商旅出行，居家旅游倒是还可以，可以做饭、烫衣服，还有洗衣机，酒店挺干净，设施也比较齐全。
0,"由于火车时间,不得不在早上六点到酒店,等到快八点才入住!好惨!通过携程预订,标明是双早,却给了一张早餐卷券,害得要回房间吃方便面!房间宽带总是断!!不过环境真是不错!"
1,不错，服务还是和以前一样。比较满意....补充点评2008年6月13日：贵宾楼层的豪华间比较旧了，不如楼下的豪华间装修，不过还是不错的，视野开阔，附加服务也比较到位！石家庄的酒店我还是觉得世贸是最的，呵呵。
1,位置好是没得说的，酒店比较老旧了，宽带有的还要收费。
1,环境很美，服务很好。但房间装修一般，入住时感觉房间很潮，酒店内吃饭的地方太少。
0,酒店设备很陈旧，浴室设备也坏掉，服务也很差。因为到的比较晚，入住已经差不多11点钟了，家里人打电话来酒店，酒店总机也是特别没礼貌的挂电话。因为经常出差，这基本上是住过最差的酒店了。
1,"本来整体感觉不错,虽然价位比较高.我在入住的第二天晚上,室内温度上升到26度,问酒店的服务中心,她们说由于外面的天气比较冷(14-17度左右),现在空调只是有自然风~~~我说,外面是冷,但室内在没有窗户的情况下室温那么高,怎么睡?!最后得来的答案是酒店方面是不肯开冷空调的了,就拿了一把风扇给我!!!一家国际五星饭店居然用这种方法来处理,实在失望.除此之外,所有服务都是水准以内的.所以,以后大家去住就要选在正夏天或正冬天,否则没有空调."
1,"没有桑拿设备,理由是正在维修,但真正的原因是不赚钱."
